subid,tier
21724479,3
29417030,7
29726122,8
24930568,5
23452753,7
21361112,6
23163827,4
27648682,4
29090912,3
21447938,6
25575254,5
21908764,3
29615706,8
27843327,4
21528505,4
26461912,8
22401037,5
23299478,6
28897426,7
27936781,8
21141595,4
21639671,8
23046333,4
29031481,3
28506369,6
20130782,1
26752601,4
20783123,8
22632389,8
26204108,2
28475988,4
20733152,8
21899385,8
22509914,7
23396279,5
20289516,3
25630872,7
20515691,4
26088196,7
25644417,1
25027288,4
20344394,5
22729361,1
29908332,1
20008677,8
29478404,5
25413163,6
26814542,8
21488135,4
25411265,8
29684286,7
24752181,2
21081457,4
24821451,5
28000765,6
21291334,5
24152839,6
22403115,7
26395698,7
23590688,7
27331988,8
23578261,6
24515589,6
20381862,4
28525132,7
21276812,2
24453228,1
29169978,8
20415094,1
21191375,6
20509601,5
25111346,8
29913327,8
26203240,1
20437253,1
27575966,8
27744020,5
20416095,1
26150813,1
22452070,2
23803336,5
22965302,5
29403753,3
27857688,7
25554997,4
24631058,8
21756190,3
22454060,8
21006951,4
25119375,6
26448031,8
27249877,6
25008566,7
29318230,5
20398930,8
20530902,7
29522421,8
24591901,7
22136108,4
29524411,8
23606279,8
26237214,2
21092429,2
24153501,6
28073547,4
27731904,7
26698889,1
23961034,6
24333505,8
21480921,8
28931271,7
22957986,5
22489579,3
25569779,2
20796415,7
24705258,8
26338055,3
23554468,5
21098420,8
21828190,4
21626032,6
24372786,4
21667955,4
26459103,8
20599840,2
22838535,7
23457527,1
25960895,6
21380309,8
22656192,8
23081228,5
26806156,4
21438733,7
29936381,5
26846576,8
23736183,8
21416153,1
22884328,1
24981129,7
24989292,6
28372834,6
25203796,8
22842894,8
20844265,8
26045142,8
22406648,7
29533809,3
28208436,3
20721576,5
24283684,6
27113468,7
25800052,7
22652904,4
26852454,4
24248270,5
29290724,8
21378038,6
28351686,8
26363444,5
21642933,4
29102545,4
20404308,8
28788817,7
29741591,4
26195259,8
22344198,3
29136670,1
29524497,6
25179241,1
20379594,4
20332553,8
25078915,4
23163308,3
20645036,8
21457131,6
20523265,8
25956176,6
22494869,5
29631739,2
21255957,4
28034759,7
29024151,7
27814343,4
22906286,6
28904269,2
27236488,4
23795804,4
26629502,2
28790852,6
29110633,1
26571161,5
26768441,4
24653874,5
26437841,3
21909471,7
29500484,7
29416891,8
29416559,8
26881265,5
29196101,6
26764750,2
21008297,7
22505644,6
26431648,6
27679548,3
27755194,6
26666296,1
27636378,1
29487260,8
20078231,4
29141344,5
28834587,4
24030994,1
25283409,8
22910014,1
22248135,4
22549713,5
20387939,5
21434741,7
20550763,8
25588430,4
20226836,2
27716313,7
26259899,4
27419873,6
23769457,6
21894653,8
26151282,7
22475624,8
20003308,4
27662578,5
21718804,1
20516749,7
22546351,5
23740921,6
29917188,1
21789215,7
27137726,3
27477108,3
27974043,4
27755165,7
28093334,2
28490659,4
22315818,3
24739975,4
26489680,4
23412457,5
28869796,3
28044612,7
21263592,2
23262869,8
28375711,7
